month_year,segment,net_revenue
2009-12-01,At Risk,111770.76
2009-12-01,Cannot Lose,17501.24
2009-12-01,Champion,373649.10
2009-12-01,Lost,11422.00
2009-12-01,Loyal,103921.18
2009-12-01,Needs Attention,67266.62
2009-12-01,Promising,1123.26
2010-01-01,At Risk,101445.93
2010-01-01,Cannot Lose,9616.43
2010-01-01,Champion,313321.60
2010-01-01,Lost,6389.10
2010-01-01,Loyal,66241.27
2010-01-01,Needs Attention,59450.43
2010-01-01,Promising,854.30
2010-02-01,At Risk,104245.60
2010-02-01,Cannot Lose,18925.85
2010-02-01,Champion,225092.71
2010-02-01,Lost,8231.15
2010-02-01,Loyal,79392.91
2010-02-01,Needs Attention,70148.66
2010-02-01,Promising,334.18
2010-03-01,At Risk,148067.45
2010-03-01,Cannot Lose,15665.33
2010-03-01,Champion,291583.48
2010-03-01,Lost,32128.43
2010-03-01,Loyal,119953.17
2010-03-01,Needs Attention,90158.97
2010-03-01,Promising,2052.16
2010-04-01,At Risk,127751.93
2010-04-01,Cannot Lose,15170.95
2010-04-01,Champion,243157.36
2010-04-01,Lost,14153.63
2010-04-01,Loyal,94748.81
2010-04-01,Needs Attention,99416.61
2010-04-01,Promising,209.90
2010-05-01,At Risk,96739.46
2010-05-01,Cannot Lose,15113.79
2010-05-01,Champion,252073.35
2010-05-01,Lost,20623.32
2010-05-01,Loyal,115653.05
2010-05-01,Needs Attention,96579.71
2010-05-01,Promising,3203.11
2010-06-01,At Risk,106009.33
2010-06-01,Cannot Lose,14319.67
2010-06-01,Champion,288666.59
2010-06-01,Lost,11059.04
2010-06-01,Loyal,108927.97
2010-06-01,Needs Attention,106899.92
2010-06-01,Promising,3184.06
2010-07-01,At Risk,96177.46
2010-07-01,Cannot Lose,11656.51
2010-07-01,Champion,288115.16
2010-07-01,Lost,6046.04
2010-07-01,Loyal,93665.53
2010-07-01,Needs Attention,94924.21
2010-07-01,Promising,1051.83
2010-08-01,At Risk,69354.01
2010-08-01,Cannot Lose,12697.82
2010-08-01,Champion,297812.87
2010-08-01,Lost,9288.98
2010-08-01,Loyal,99616.61
2010-08-01,Needs Attention,113858.03
2010-08-01,Promising,1614.33
2010-09-01,At Risk,116885.29
2010-09-01,Cannot Lose,19314.88
2010-09-01,Champion,402610.11
2010-09-01,Lost,29907.55
2010-09-01,Loyal,136108.92
2010-09-01,Needs Attention,124342.10
2010-09-01,Promising,2446.15
2010-10-01,At Risk,134852.23
2010-10-01,Cannot Lose,43286.59
2010-10-01,Champion,476835.94
2010-10-01,Lost,23567.49
2010-10-01,Loyal,186815.74
2010-10-01,Needs Attention,164149.16
2010-10-01,Promising,7172.85
2010-11-01,At Risk,116195.50
2010-11-01,Cannot Lose,63149.19
2010-11-01,Champion,567895.28
2010-11-01,Loyal,233792.71
2010-11-01,Needs Attention,185455.94
2010-11-01,Promising,5847.42
2010-12-01,At Risk,103919.24
2010-12-01,Cannot Lose,19932.99
2010-12-01,Champion,534935.72
2010-12-01,Loyal,137655.85
2010-12-01,Needs Attention,84624.16
2010-12-01,Promising,3523.93
2011-01-01,At Risk,137360.99
2011-01-01,Cannot Lose,19293.22
2011-01-01,Champion,280723.72
2011-01-01,Loyal,81222.08
2011-01-01,Needs Attention,50498.25
2011-01-01,Promising,346.78
2011-02-01,At Risk,31613.75
2011-02-01,Cannot Lose,17535.87
2011-02-01,Champion,226181.72
2011-02-01,Loyal,100622.34
2011-02-01,Needs Attention,67585.55
2011-02-01,Promising,3598.12
2011-03-01,At Risk,36681.39
2011-03-01,Cannot Lose,28014.24
2011-03-01,Champion,302464.07
2011-03-01,Loyal,130109.26
2011-03-01,Needs Attention,95956.87
2011-03-01,Promising,2274.93
2011-04-01,At Risk,55327.47
2011-04-01,Cannot Lose,18966.97
2011-04-01,Champion,210987.48
2011-04-01,Loyal,102007.86
2011-04-01,Needs Attention,79271.36
2011-04-01,Promising,2639.22
2011-05-01,At Risk,51700.39
2011-05-01,Cannot Lose,19697.19
2011-05-01,Champion,367591.30
2011-05-01,Loyal,138042.16
2011-05-01,Needs Attention,98126.72
2011-05-01,Promising,3436.80
2011-06-01,At Risk,2752.71
2011-06-01,Cannot Lose,2096.11
2011-06-01,Champion,343803.71
2011-06-01,Loyal,144136.77
2011-06-01,Needs Attention,149217.65
2011-06-01,Promising,19206.74
2011-07-01,Champion,331719.64
2011-07-01,Loyal,126320.93
2011-07-01,Needs Attention,119092.16
2011-07-01,Promising,22958.28
2011-08-01,Champion,323914.42
2011-08-01,Loyal,170762.15
2011-08-01,Needs Attention,121906.62
2011-08-01,Promising,28760.71
2011-09-01,Champion,554361.42
2011-09-01,Loyal,142035.16
2011-09-01,Needs Attention,197021.47
2011-09-01,Promising,59420.33
2011-10-01,Champion,544906.48
2011-10-01,Loyal,268076.53
2011-10-01,Needs Attention,156010.77
2011-10-01,Promising,70325.01
2011-11-01,Champion,719408.56
2011-11-01,Loyal,231908.60
2011-11-01,Needs Attention,133321.09
2011-11-01,Promising,77179.13
2011-12-01,Champion,283483.00
2011-12-01,Loyal,6373.30
2011-12-01,Needs Attention,210282.74
2011-12-01,Promising,18071.75
